issue,predicted_label
My laptop device restarts unexpectedly while using multiple apps.,Software issue
The camera on my tablet malfunctions during use.,Hardware issue
The trackpad on my smartwatch became unresponsive.,Hardware issue
The touchscreen is unresponsive when exposed to sunlight.,Software issue
My laptop screen freezes during normal operation.,Software issue
The fingerprint sensor on my tablet produces unusual behavior.,Hardware issue
The keyboard on my tablet fails randomly.,Hardware issue
My smartwatch WiFi disconnects frequently during file transfers.,Software issue
The dead pixels appeared after replacing the screen.,Cracked screen
The display shows distorted colors while charging.,Cracked screen
The brightness changes automatically after a drop.,Unknown
The power button on my smartwatch shows signs of failure.,Hardware issue
My laptop loses charge overnight when using GPS.,Battery degradation
The power button on my tablet fails randomly.,Hardware issue
The display shows distorted colors during video playback.,Cracked screen
My smartwatch was exposed to heavy rain and random shutdowns started occurring.,Software issue
My laptop gets hot while charging during video calls.,Battery degradation
My tablet device enters a boot loop after installing new software.,Software issue
The dead pixels appeared after an update.,Cracked screen
My tablet fell into water and the display became damaged.,Cracked screen
My tablet drops from full charge within hours during normal use.,Battery degradation
The ghost touches occur when exposed to sunlight.,Software issue
The screen freezes during normal use.,Software issue
The display shows vertical lines after an update.,Cracked screen
My phone fell into water and random shutdowns started occurring.,Water/Liquid damage
My smartwatch fell into water and the battery started overheating.,Battery degradation
My laptop dies unexpectedly during standby.,Battery degradation
My smartwatch screen freezes after installing new software.,Software issue
My smartwatch dies unexpectedly while watching videos.,Battery degradation
The ghost touches occur after a drop.,Software issue
My smartwatch does not hold a charge while charging.,Battery degradation
My smartwatch WiFi disconnects frequently during file transfers.,Software issue
The camera on my phone became unresponsive.,Hardware issue
The microphone on my phone shows signs of failure.,Hardware issue
The screen freezes when exposed to sunlight.,Software issue
The motherboard on my smartwatch is not detected.,Hardware issue
My tablet settings reset automatically during startup.,Software issue
The camera on my laptop is not detected.,Hardware issue
The dead pixels appeared after an update.,Cracked screen
My tablet drops from full charge within hours while charging.,Battery degradation
My phone drains quickly while watching videos.,Battery degradation
My phone system freezes randomly after updating.,Software issue
My tablet Bluetooth stops working when opening settings.,Software issue
My smartwatch device enters a boot loop while charging.,Software issue
The microphone on my tablet malfunctions during use.,Hardware issue
The screen flickers when exposed to sunlight.,Software issue
My smartwatch loses battery health rapidly during video calls.,Battery degradation
My laptop system freezes randomly while charging.,Software issue
My laptop gets hot while charging when connected to WiFi.,Battery degradation
My tablet does not hold a charge during online meetings.,Battery degradation
My laptop screen freezes during startup.,Software issue
My smartwatch was exposed to heavy rain and random shutdowns started occurring.,Software issue
The trackpad on my laptop fails randomly.,Hardware issue
The display shows vertical lines during gaming.,Cracked screen
My tablet operating system fails to boot while charging.,Software issue
My laptop settings reset automatically after updating.,Software issue
My phone Bluetooth stops working when connected to the internet.,Software issue
The camera on my laptop works intermittently.,Hardware issue
The screen cracked when exposed to sunlight.,Software issue
My tablet was crushed inside a bag and internal components failed.,Water/Liquid damage
The brightness changes automatically when using social media.,Unknown
The dead pixels appeared randomly throughout the day.,Cracked screen
My laptop was dropped on concrete and the battery started overheating.,Battery degradation
The screen flickers when using social media.,Cracked screen
The screen freezes after replacing the screen.,Software issue
The microphone on my smartwatch disconnects frequently.,Hardware issue
The display shows distorted colors while charging.,Cracked screen
My smartwatch does not hold a charge while gaming.,Battery degradation
My phone drops from full charge within hours when connected to WiFi.,Battery degradation
The brightness changes automatically during gaming.,Unknown
My tablet does not hold a charge while charging.,Battery degradation
My phone system freezes randomly after updating.,Software issue
My smartwatch had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
My smartwatch loses charge overnight when using GPS.,Battery degradation
The camera on my phone shows signs of failure.,Hardware issue
My tablet screen freezes after updating.,Software issue
My phone settings reset automatically when connected to the internet.,Software issue
My tablet device enters a boot loop during startup.,Software issue
The screen freezes after an update.,Software issue
My smartwatch settings reset automatically during file transfers.,Software issue
The USB port on my tablet disconnects frequently.,Hardware issue
My laptop was hit during a vehicle accident and charging no longer works.,Unknown
My tablet was exposed to heavy rain and the display became damaged.,Software issue
My phone drains quickly during video calls.,Battery degradation
The motherboard on my tablet produces unusual behavior.,Hardware issue
My laptop was exposed to beach sand and no longer turns on.,Software issue
The display shows distorted colors randomly throughout the day.,Cracked screen
The keyboard on my tablet produces unusual behavior.,Hardware issue
My laptop fell into water and several buttons stopped responding.,Water/Liquid damage
The screen goes black after replacing the screen.,Cracked screen
The touchscreen is unresponsive after replacing the screen.,Cracked screen
My tablet system freezes randomly during file transfers.,Software issue
My smartwatch Bluetooth stops working when connected to the internet.,Software issue
My laptop dies unexpectedly during video calls.,Battery degradation
My phone was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
My tablet was left inside a hot car and the display became damaged.,Cracked screen
My phone gets hot while charging during online meetings.,Battery degradation
My laptop was dropped down stairs and the touchscreen stopped working.,Hardware issue
My smartwatch operating system fails to boot after installing new software.,Software issue
The screen flickers after a drop.,Cracked screen
The touchscreen is unresponsive during normal use.,Cracked screen
The charging port on my smartwatch produces unusual behavior.,Hardware issue
The fingerprint sensor on my smartwatch fails randomly.,Hardware issue
My tablet loses battery health rapidly while charging.,Battery degradation
My phone gets hot while charging during standby.,Battery degradation
The speaker on my tablet became unresponsive.,Hardware issue
My smartwatch was dropped on concrete and the display became damaged.,Cracked screen
My laptop does not hold a charge when using GPS.,Battery degradation
My phone was exposed to heavy rain and the speaker became distorted.,Hardware issue
My phone WiFi disconnects frequently after rebooting.,Software issue
The USB port on my tablet malfunctions during use.,Hardware issue
The microphone on my tablet is physically damaged.,Hardware issue
The screen goes black when using social media.,Cracked screen
My laptop was dropped down stairs and the touchscreen stopped working.,Hardware issue
The trackpad on my laptop is physically damaged.,Hardware issue
My tablet was exposed to heavy rain and the battery started overheating.,Battery degradation
My phone was exposed to heavy rain and random shutdowns started occurring.,Software issue
My laptop was left inside a hot car and the touchscreen stopped working.,Hardware issue
My smartwatch loses battery health rapidly during standby.,Battery degradation
The charging port on my smartwatch produces unusual behavior.,Hardware issue
The speaker on my tablet fails randomly.,Hardware issue
The power button on my smartwatch stopped working.,Hardware issue
The motherboard on my tablet became unresponsive.,Hardware issue
The motherboard on my laptop is physically damaged.,Hardware issue
The camera on my laptop stopped working.,Hardware issue
The fingerprint sensor on my smartwatch disconnects frequently.,Hardware issue
My tablet drops from full charge within hours when connected to WiFi.,Battery degradation
The display shows vertical lines after replacing the screen.,Cracked screen
The display shows distorted colors while charging.,Cracked screen
My phone apps keep crashing during normal operation.,Unknown
My phone takes too long to charge while watching videos.,Battery degradation
The microphone on my smartwatch works intermittently.,Hardware issue
My phone powers off suddenly when using GPS.,Unknown
The display shows distorted colors during normal use.,Cracked screen
My laptop screen freezes while charging.,Software issue
The trackpad on my phone is not detected.,Hardware issue
My laptop settings reset automatically when opening settings.,Software issue
My tablet was dropped down stairs and the display became damaged.,Cracked screen
My phone WiFi disconnects frequently while charging.,Software issue
My tablet fell into water and charging no longer works.,Water/Liquid damage
My laptop was crushed inside a bag and the display became damaged.,Cracked screen
My laptop loses charge overnight when using GPS.,Battery degradation
The speaker on my laptop is physically damaged.,Hardware issue
The screen flickers when exposed to sunlight.,Software issue
My phone loses battery health rapidly during video calls.,Battery degradation
The fingerprint sensor on my smartwatch stopped working.,Hardware issue
The screen freezes after an update.,Software issue
My smartwatch screen freezes after rebooting.,Software issue
The keyboard on my smartwatch malfunctions during use.,Hardware issue
The display shows distorted colors randomly throughout the day.,Cracked screen
The speaker on my smartwatch malfunctions during use.,Hardware issue
My phone was exposed to beach sand and random shutdowns started occurring.,Software issue
My phone dies unexpectedly when connected to WiFi.,Battery degradation
My phone was left inside a hot car and random shutdowns started occurring.,Water/Liquid damage
My smartwatch device enters a boot loop while charging.,Software issue
My laptop operating system fails to boot when opening settings.,Software issue
My laptop screen freezes after installing new software.,Software issue
My laptop was exposed to heavy rain and the speaker became distorted.,Hardware issue
The touchscreen is unresponsive after a drop.,Cracked screen
My tablet was exposed to beach sand and no longer turns on.,Software issue
The touchscreen is unresponsive during normal use.,Cracked screen
My tablet discharges while idle when using GPS.,Battery degradation
The trackpad on my phone malfunctions during use.,Hardware issue
My tablet loses charge overnight during normal use.,Battery degradation
My smartwatch drops from full charge within hours when using GPS.,Battery degradation
My tablet system freezes randomly after installing new software.,Software issue
My tablet was crushed inside a bag and the speaker became distorted.,Hardware issue
My tablet was exposed to heavy rain and no longer turns on.,Software issue
The screen freezes when using social media.,Software issue
The ghost touches occur after a drop.,Software issue
My phone discharges while idle while charging.,Battery degradation
My phone was crushed inside a bag and internal components failed.,Water/Liquid damage
My phone was left inside a hot car and the screen shattered.,Cracked screen
The screen freezes when using social media.,Software issue
My smartwatch was hit during a vehicle accident and the display became damaged.,Cracked screen
My phone does not hold a charge while watching videos.,Battery degradation
My tablet was dropped on concrete and the touchscreen stopped working.,Hardware issue
The screen goes black when exposed to sunlight.,Software issue
My tablet takes too long to charge during online meetings.,Battery degradation
My phone device restarts unexpectedly during file transfers.,Software issue
My smartwatch screen freezes after rebooting.,Software issue
My tablet device enters a boot loop while charging.,Software issue
My laptop screen freezes when connected to the internet.,Software issue
The motherboard on my laptop became unresponsive.,Hardware issue
My tablet was exposed to beach sand and the display became damaged.,Software issue
My tablet drops from full charge within hours during online meetings.,Battery degradation
My smartwatch was exposed to beach sand and the battery started overheating.,Battery degradation
The screen flickers during normal use.,Cracked screen
The microphone on my phone is not detected.,Hardware issue
The USB port on my smartwatch works intermittently.,Hardware issue
My smartwatch gets hot while charging after a software update.,Battery degradation
My phone does not hold a charge during normal use.,Battery degradation
The trackpad on my tablet is not detected.,Hardware issue
The ghost touches occur during gaming.,Software issue
The screen freezes while charging.,Software issue
My phone was exposed to beach sand and no longer turns on.,Software issue
My smartwatch had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My laptop was dropped down stairs and random shutdowns started occurring.,Water/Liquid damage
My laptop had coffee spilled on it and the battery started overheating.,Battery degradation
My tablet takes too long to charge when using GPS.,Battery degradation
My phone takes too long to charge while gaming.,Battery degradation
The charging port on my tablet is physically damaged.,Hardware issue
My phone device restarts unexpectedly after installing new software.,Software issue
My smartwatch was hit during a vehicle accident and random shutdowns started occurring.,Unknown
My smartwatch was dropped on concrete and random shutdowns started occurring.,Water/Liquid damage
My tablet fell into water and the touchscreen stopped working.,Hardware issue
My tablet software update failed after rebooting.,Software issue
My tablet fell from a table and the screen shattered.,Cracked screen
My tablet loses charge overnight when using GPS.,Battery degradation
The camera on my phone disconnects frequently.,Hardware issue
The screen goes black while charging.,Cracked screen
The camera on my smartwatch shows signs of failure.,Hardware issue
My phone drops from full charge within hours during normal use.,Battery degradation
The dead pixels appeared after replacing the screen.,Cracked screen
My smartwatch takes too long to charge after a software update.,Battery degradation
My phone device enters a boot loop after updating.,Software issue
The charging port on my phone fails randomly.,Hardware issue
My phone fell from a table and the display became damaged.,Cracked screen
My laptop device restarts unexpectedly when connected to the internet.,Software issue
The touchscreen is unresponsive randomly throughout the day.,Cracked screen
The screen goes black when using social media.,Cracked screen
My phone gets hot while charging when using GPS.,Battery degradation
My phone system freezes randomly during normal operation.,Software issue
The power button on my laptop stopped working.,Hardware issue
My smartwatch was left inside a hot car and no longer turns on.,Water/Liquid damage
My laptop was left inside a hot car and charging no longer works.,Water/Liquid damage
My tablet device restarts unexpectedly during startup.,Software issue
The keyboard on my laptop produces unusual behavior.,Hardware issue
My smartwatch dies unexpectedly while charging.,Battery degradation
The screen flickers after replacing the screen.,Cracked screen
My tablet does not hold a charge during normal use.,Battery degradation
My phone operating system fails to boot after rebooting.,Software issue
The USB port on my tablet malfunctions during use.,Hardware issue
The screen goes black after replacing the screen.,Cracked screen
My phone fell from a table and several buttons stopped responding.,Unknown
My tablet fell from a table and charging no longer works.,Unknown
My smartwatch was exposed to heavy rain and no longer turns on.,Software issue
The display shows distorted colors when using social media.,Cracked screen
My smartwatch drops from full charge within hours while charging.,Battery degradation
My smartwatch was hit during a vehicle accident and charging no longer works.,Unknown
My smartwatch takes too long to charge after a software update.,Battery degradation
The motherboard on my smartwatch is not detected.,Hardware issue
The ghost touches occur after a drop.,Software issue
My tablet powers off suddenly while charging.,Unknown
My phone was dropped on concrete and the display became damaged.,Cracked screen
The screen freezes during gaming.,Software issue
My phone takes too long to charge when connected to WiFi.,Battery degradation
My smartwatch system freezes randomly during startup.,Software issue
The camera on my laptop is physically damaged.,Hardware issue
The USB port on my phone became unresponsive.,Hardware issue
My smartwatch apps keep crashing when connected to the internet.,Unknown
My phone gets hot while charging during online meetings.,Battery degradation
My tablet dies unexpectedly while gaming.,Battery degradation
My tablet does not hold a charge when connected to WiFi.,Battery degradation
My tablet gets hot while charging when connected to WiFi.,Battery degradation
My laptop loses battery health rapidly after a software update.,Battery degradation
My phone device restarts unexpectedly during normal operation.,Software issue
The touchscreen is unresponsive when using social media.,Cracked screen
The USB port on my laptop became unresponsive.,Hardware issue
The speaker on my phone malfunctions during use.,Hardware issue
My tablet fell from a table and random shutdowns started occurring.,Unknown
The speaker on my tablet disconnects frequently.,Hardware issue
The camera on my laptop shows signs of failure.,Hardware issue
My tablet was crushed inside a bag and the battery started overheating.,Battery degradation
The screen cracked during gaming.,Cracked screen
The display shows vertical lines after an update.,Cracked screen
My phone loses charge overnight while charging.,Battery degradation
My laptop was exposed to beach sand and several buttons stopped responding.,Software issue
My smartwatch takes too long to charge after a software update.,Battery degradation
My phone gets hot while charging when using GPS.,Battery degradation
My phone was exposed to beach sand and no longer turns on.,Software issue
The microphone on my smartwatch stopped working.,Hardware issue
My phone dies unexpectedly when using GPS.,Battery degradation
My smartwatch was crushed inside a bag and the battery started overheating.,Battery degradation
My smartwatch does not hold a charge while watching videos.,Battery degradation
My smartwatch gets hot while charging while watching videos.,Battery degradation
The screen cracked after replacing the screen.,Cracked screen
The power button on my laptop works intermittently.,Hardware issue
The screen flickers when using social media.,Cracked screen
The microphone on my phone stopped working.,Hardware issue
The screen freezes after a drop.,Software issue
The keyboard on my tablet malfunctions during use.,Hardware issue
My laptop was exposed to beach sand and the display became damaged.,Software issue
The motherboard on my laptop malfunctions during use.,Hardware issue
My laptop device enters a boot loop during normal operation.,Software issue
My laptop Bluetooth stops working during normal operation.,Software issue
My tablet was exposed to heavy rain and the speaker became distorted.,Hardware issue
The ghost touches occur during video playback.,Software issue
My phone Bluetooth stops working during normal operation.,Software issue
The screen flickers during gaming.,Cracked screen
The speaker on my tablet became unresponsive.,Hardware issue
My phone software update failed when connected to the internet.,Software issue
My smartwatch was crushed inside a bag and several buttons stopped responding.,Water/Liquid damage
The charging port on my smartwatch stopped working.,Hardware issue
The screen freezes randomly throughout the day.,Software issue
My phone was exposed to beach sand and the speaker became distorted.,Hardware issue
My smartwatch gets hot while charging during normal use.,Battery degradation
The microphone on my smartwatch became unresponsive.,Hardware issue
My smartwatch apps keep crashing after rebooting.,Unknown
The charging port on my smartwatch fails randomly.,Hardware issue
My tablet Bluetooth stops working while charging.,Software issue
My phone apps keep crashing after installing new software.,Software issue
The trackpad on my tablet disconnects frequently.,Hardware issue
The screen freezes during video playback.,Software issue
My laptop was exposed to beach sand and several buttons stopped responding.,Software issue
My phone was crushed inside a bag and charging no longer works.,Water/Liquid damage
My smartwatch was exposed to heavy rain and the battery started overheating.,Battery degradation
The camera on my phone malfunctions during use.,Hardware issue
My smartwatch takes too long to charge during online meetings.,Battery degradation
My tablet loses battery health rapidly when using GPS.,Battery degradation
My phone operating system fails to boot after rebooting.,Software issue
My laptop settings reset automatically when opening settings.,Software issue
My smartwatch drops from full charge within hours when using GPS.,Battery degradation
The dead pixels appeared during gaming.,Cracked screen
The display shows vertical lines during normal use.,Cracked screen
My phone loses charge overnight when connected to WiFi.,Battery degradation
The fingerprint sensor on my smartwatch is not detected.,Hardware issue
My phone was exposed to beach sand and the battery started overheating.,Battery degradation
The charging port on my smartwatch malfunctions during use.,Hardware issue
My tablet operating system fails to boot after updating.,Software issue
My tablet Bluetooth stops working after installing new software.,Software issue
My phone fell from a table and the touchscreen stopped working.,Hardware issue
My laptop takes too long to charge while charging.,Battery degradation
My smartwatch takes too long to charge while charging.,Battery degradation
My tablet powers off suddenly during video calls.,Unknown
The speaker on my phone fails randomly.,Hardware issue
My laptop WiFi disconnects frequently while charging.,Software issue
The screen freezes when exposed to sunlight.,Software issue
The screen freezes when exposed to sunlight.,Software issue
My phone Bluetooth stops working after installing new software.,Software issue
My laptop had coffee spilled on it and the screen shattered.,Cracked screen
The display shows distorted colors after a drop.,Cracked screen
My tablet was left inside a hot car and the battery started overheating.,Battery degradation
My phone was left inside a hot car and the battery started overheating.,Battery degradation
My phone was left inside a hot car and random shutdowns started occurring.,Water/Liquid damage
The ghost touches occur when using social media.,Software issue
My smartwatch loses battery health rapidly during video calls.,Battery degradation
My laptop settings reset automatically when connected to the internet.,Software issue
My laptop was hit during a vehicle accident and several buttons stopped responding.,Unknown
My tablet was hit during a vehicle accident and no longer turns on.,Unknown
The touchscreen is unresponsive during gaming.,Cracked screen
My phone apps keep crashing when connected to the internet.,Unknown
My phone had coffee spilled on it and internal components failed.,Water/Liquid damage
My tablet was hit during a vehicle accident and charging no longer works.,Unknown
My phone does not hold a charge during standby.,Battery degradation
My laptop Bluetooth stops working when connected to the internet.,Software issue
My phone device restarts unexpectedly when connected to the internet.,Software issue
My tablet dies unexpectedly while charging.,Battery degradation
My tablet gets hot while charging when connected to WiFi.,Battery degradation
My tablet device restarts unexpectedly during file transfers.,Software issue
The microphone on my tablet became unresponsive.,Hardware issue
The touchscreen is unresponsive randomly throughout the day.,Cracked screen
My laptop settings reset automatically while charging.,Software issue
My tablet was left inside a hot car and random shutdowns started occurring.,Water/Liquid damage
The camera on my tablet disconnects frequently.,Hardware issue
The screen freezes after an update.,Software issue
The trackpad on my smartwatch produces unusual behavior.,Hardware issue
My smartwatch was dropped down stairs and no longer turns on.,Water/Liquid damage
The screen freezes after replacing the screen.,Software issue
My phone settings reset automatically while using multiple apps.,Software issue
The motherboard on my smartwatch is physically damaged.,Hardware issue
My tablet loses charge overnight during normal use.,Battery degradation
My smartwatch software update failed after updating.,Software issue
My smartwatch WiFi disconnects frequently after rebooting.,Software issue
My tablet loses charge overnight when using GPS.,Battery degradation
The screen goes black after a drop.,Cracked screen
My smartwatch apps keep crashing after updating.,Unknown
The microphone on my tablet is not detected.,Hardware issue
The fingerprint sensor on my tablet became unresponsive.,Hardware issue
The screen cracked during video playback.,Cracked screen
The display shows vertical lines during video playback.,Cracked screen
My laptop was crushed inside a bag and the display became damaged.,Cracked screen
My smartwatch Bluetooth stops working while using multiple apps.,Software issue
My smartwatch dies unexpectedly during standby.,Battery degradation
The USB port on my laptop shows signs of failure.,Hardware issue
My laptop device enters a boot loop while using multiple apps.,Software issue
My laptop was exposed to beach sand and random shutdowns started occurring.,Software issue
The charging port on my smartwatch produces unusual behavior.,Hardware issue
The motherboard on my smartwatch malfunctions during use.,Hardware issue
My tablet gets hot while charging during video calls.,Battery degradation
My laptop WiFi disconnects frequently during normal operation.,Software issue
My phone software update failed while using multiple apps.,Software issue
My smartwatch drains quickly after a software update.,Battery degradation
My laptop apps keep crashing during file transfers.,Unknown
My phone was hit during a vehicle accident and the touchscreen stopped working.,Hardware issue
My phone Bluetooth stops working during startup.,Software issue
The touchscreen is unresponsive during gaming.,Cracked screen
My laptop takes too long to charge while watching videos.,Battery degradation
The display shows vertical lines after replacing the screen.,Cracked screen
The fingerprint sensor on my laptop is physically damaged.,Hardware issue
The microphone on my smartwatch is not detected.,Hardware issue
My laptop system freezes randomly after rebooting.,Software issue
The dead pixels appeared when exposed to sunlight.,Software issue
My tablet was left inside a hot car and internal components failed.,Water/Liquid damage
My smartwatch was crushed inside a bag and the touchscreen stopped working.,Hardware issue
My smartwatch was exposed to beach sand and the screen shattered.,Software issue
The power button on my tablet stopped working.,Hardware issue
My tablet gets hot while charging while watching videos.,Battery degradation
My tablet screen freezes during file transfers.,Software issue
My tablet fell into water and random shutdowns started occurring.,Water/Liquid damage
My laptop system freezes randomly when opening settings.,Software issue
The keyboard on my smartwatch malfunctions during use.,Hardware issue
My tablet screen freezes while charging.,Software issue
My laptop had coffee spilled on it and the speaker became distorted.,Hardware issue
My phone had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
My smartwatch does not hold a charge during online meetings.,Battery degradation
My phone apps keep crashing after updating.,Unknown
The motherboard on my laptop malfunctions during use.,Hardware issue
My smartwatch drops from full charge within hours during video calls.,Battery degradation
The microphone on my phone disconnects frequently.,Hardware issue
My smartwatch WiFi disconnects frequently during file transfers.,Software issue
My phone had coffee spilled on it and the battery started overheating.,Battery degradation
My tablet had coffee spilled on it and the screen shattered.,Cracked screen
My smartwatch software update failed after installing new software.,Software issue
The microphone on my smartwatch works intermittently.,Hardware issue
My phone system freezes randomly while charging.,Software issue
My smartwatch was crushed inside a bag and no longer turns on.,Water/Liquid damage
The trackpad on my laptop is not detected.,Hardware issue
My phone operating system fails to boot while charging.,Software issue
My tablet fell into water and the battery started overheating.,Battery degradation
My tablet drops from full charge within hours after a software update.,Battery degradation
My phone operating system fails to boot after rebooting.,Software issue
My tablet drops from full charge within hours while watching videos.,Battery degradation
The keyboard on my laptop is physically damaged.,Hardware issue
My phone screen freezes after rebooting.,Software issue
My phone takes too long to charge during standby.,Battery degradation
My tablet loses charge overnight while watching videos.,Battery degradation
My laptop dies unexpectedly when using GPS.,Battery degradation
My phone loses charge overnight while charging.,Battery degradation
The dead pixels appeared randomly throughout the day.,Cracked screen
The ghost touches occur during gaming.,Software issue
The microphone on my phone shows signs of failure.,Hardware issue
My phone was dropped on concrete and the display became damaged.,Cracked screen
The screen flickers during video playback.,Cracked screen
The screen freezes after an update.,Software issue
My smartwatch device restarts unexpectedly when connected to the internet.,Software issue
The charging port on my smartwatch shows signs of failure.,Hardware issue
The touchscreen is unresponsive after an update.,Cracked screen
The motherboard on my smartwatch fails randomly.,Hardware issue
My tablet was dropped on concrete and the screen shattered.,Cracked screen
My phone had coffee spilled on it and the display became damaged.,Cracked screen
The touchscreen is unresponsive during normal use.,Cracked screen
My phone loses battery health rapidly when connected to WiFi.,Battery degradation
The microphone on my phone fails randomly.,Hardware issue
My tablet loses battery health rapidly during video calls.,Battery degradation
The USB port on my laptop is not detected.,Hardware issue
The screen goes black while charging.,Cracked screen
My smartwatch had coffee spilled on it and random shutdowns started occurring.,Water/Liquid damage
My phone drains quickly while gaming.,Battery degradation
My smartwatch powers off suddenly during normal use.,Unknown
My smartwatch operating system fails to boot after rebooting.,Software issue
My laptop discharges while idle during normal use.,Battery degradation
The speaker on my phone malfunctions during use.,Hardware issue
The power button on my laptop works intermittently.,Hardware issue
The USB port on my smartwatch shows signs of failure.,Hardware issue
My smartwatch Bluetooth stops working after updating.,Software issue
My phone had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
The USB port on my laptop disconnects frequently.,Hardware issue
My smartwatch loses charge overnight after a software update.,Battery degradation
The screen flickers after a drop.,Cracked screen
The speaker on my smartwatch became unresponsive.,Hardware issue
My laptop drains quickly during video calls.,Battery degradation
My phone operating system fails to boot during normal operation.,Software issue
My phone software update failed while charging.,Software issue
My tablet was left inside a hot car and several buttons stopped responding.,Water/Liquid damage
My phone drops from full charge within hours during normal use.,Battery degradation
The screen flickers when exposed to sunlight.,Software issue
My smartwatch was crushed inside a bag and random shutdowns started occurring.,Water/Liquid damage
My phone loses battery health rapidly while watching videos.,Battery degradation
My phone was exposed to heavy rain and no longer turns on.,Software issue
The power button on my laptop disconnects frequently.,Hardware issue
My phone device enters a boot loop during startup.,Software issue
My tablet loses charge overnight during standby.,Battery degradation
The screen flickers while charging.,Cracked screen
The fingerprint sensor on my laptop is not detected.,Hardware issue
The display shows distorted colors during normal use.,Cracked screen
My smartwatch powers off suddenly while gaming.,Unknown
The screen flickers after a drop.,Cracked screen
The camera on my tablet became unresponsive.,Hardware issue
The screen flickers during normal use.,Cracked screen
The dead pixels appeared when using social media.,Cracked screen
My laptop loses battery health rapidly during video calls.,Battery degradation
My laptop was dropped on concrete and the speaker became distorted.,Hardware issue
My phone had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
My smartwatch dies unexpectedly during standby.,Battery degradation
The dead pixels appeared while charging.,Cracked screen
My laptop discharges while idle while watching videos.,Battery degradation
The touchscreen is unresponsive during normal use.,Cracked screen
My tablet WiFi disconnects frequently during normal operation.,Software issue
My phone Bluetooth stops working while using multiple apps.,Software issue
My phone software update failed when opening settings.,Software issue
My smartwatch fell into water and charging no longer works.,Water/Liquid damage
The touchscreen is unresponsive during video playback.,Cracked screen
The fingerprint sensor on my laptop disconnects frequently.,Hardware issue
My tablet dies unexpectedly during online meetings.,Battery degradation
The USB port on my phone malfunctions during use.,Hardware issue
The power button on my phone shows signs of failure.,Hardware issue
The screen goes black during gaming.,Cracked screen
The ghost touches occur during video playback.,Software issue
My smartwatch gets hot while charging while charging.,Battery degradation
My tablet had coffee spilled on it and the speaker became distorted.,Hardware issue
My smartwatch was crushed inside a bag and the speaker became distorted.,Hardware issue
My laptop was dropped down stairs and internal components failed.,Water/Liquid damage
The USB port on my tablet fails randomly.,Hardware issue
My smartwatch does not hold a charge while charging.,Battery degradation
My tablet discharges while idle during online meetings.,Battery degradation
My tablet dies unexpectedly when using GPS.,Battery degradation
The screen goes black after replacing the screen.,Cracked screen
The microphone on my smartwatch works intermittently.,Hardware issue
My smartwatch was left inside a hot car and charging no longer works.,Water/Liquid damage
My laptop gets hot while charging when using GPS.,Battery degradation
The trackpad on my tablet shows signs of failure.,Hardware issue
My laptop device restarts unexpectedly while charging.,Software issue
The touchscreen is unresponsive while charging.,Cracked screen
The screen goes black during video playback.,Cracked screen
My laptop had coffee spilled on it and several buttons stopped responding.,Water/Liquid damage
My smartwatch was crushed inside a bag and the speaker became distorted.,Hardware issue
My smartwatch WiFi disconnects frequently after updating.,Software issue
My smartwatch had coffee spilled on it and the display became damaged.,Cracked screen
My smartwatch Bluetooth stops working during startup.,Software issue
The touchscreen is unresponsive after a drop.,Cracked screen
My smartwatch device enters a boot loop when opening settings.,Software issue
My smartwatch drains quickly during online meetings.,Battery degradation
The fingerprint sensor on my phone is physically damaged.,Hardware issue
The brightness changes automatically after replacing the screen.,Cracked screen
My laptop discharges while idle when using GPS.,Battery degradation
The fingerprint sensor on my tablet produces unusual behavior.,Hardware issue
The camera on my laptop disconnects frequently.,Hardware issue
The screen flickers after a drop.,Cracked screen
The brightness changes automatically when using social media.,Unknown
The camera on my smartwatch stopped working.,Hardware issue
My smartwatch dies unexpectedly while charging.,Battery degradation
My tablet drops from full charge within hours during video calls.,Battery degradation
The microphone on my smartwatch disconnects frequently.,Hardware issue
My tablet was exposed to beach sand and several buttons stopped responding.,Software issue
My phone was dropped on concrete and the battery started overheating.,Battery degradation
The screen cracked after a drop.,Cracked screen
The ghost touches occur when exposed to sunlight.,Software issue
My laptop dies unexpectedly when using GPS.,Battery degradation
The screen goes black after replacing the screen.,Cracked screen
The display shows vertical lines while charging.,Cracked screen
My phone was exposed to heavy rain and no longer turns on.,Software issue
My phone gets hot while charging while charging.,Battery degradation
My tablet loses battery health rapidly during standby.,Battery degradation
My phone was dropped on concrete and the screen shattered.,Cracked screen
The USB port on my laptop is not detected.,Hardware issue
My laptop was crushed inside a bag and internal components failed.,Water/Liquid damage
The dead pixels appeared when using social media.,Cracked screen
My phone takes too long to charge during normal use.,Battery degradation
My tablet had coffee spilled on it and charging no longer works.,Water/Liquid damage
My phone was left inside a hot car and the speaker became distorted.,Hardware issue
My tablet discharges while idle after a software update.,Battery degradation
My phone discharges while idle during online meetings.,Battery degradation
My phone dies unexpectedly during online meetings.,Battery degradation
My phone loses charge overnight while gaming.,Battery degradation
My phone loses battery health rapidly while charging.,Battery degradation
