text,text_clean,issue_label,source
My laptop device enters a boot loop during normal operation.,my laptop device enters a boot loop during normal operation,Software issue,device_issue_dataset
My laptop Bluetooth stops working during normal operation.,my laptop bluetooth stops working during normal operation,Software issue,device_issue_dataset
My tablet was exposed to heavy rain and the speaker became distorted.,my tablet was exposed to heavy rain and the speaker became distorted,Water/Liquid damage,device_issue_dataset
The ghost touches occur during video playback.,the ghost touches occur during video playback,Cracked screen,device_issue_dataset
My phone Bluetooth stops working during normal operation.,my phone bluetooth stops working during normal operation,Software issue,device_issue_dataset
The screen flickers during gaming.,the screen flickers during gaming,Cracked screen,device_issue_dataset
The speaker on my tablet became unresponsive.,the speaker on my tablet became unresponsive,Hardware issue,device_issue_dataset
My phone software update failed when connected to the internet.,my phone software update failed when connected to the internet,Software issue,device_issue_dataset
My smartwatch was crushed inside a bag and several buttons stopped responding.,my smartwatch was crushed inside a bag and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
The charging port on my smartwatch stopped working.,the charging port on my smartwatch stopped working,Hardware issue,device_issue_dataset
The screen freezes randomly throughout the day.,the screen freezes randomly throughout the day,Cracked screen,device_issue_dataset
My phone was exposed to beach sand and the speaker became distorted.,my phone was exposed to beach sand and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My smartwatch gets hot while charging during normal use.,my smartwatch gets hot while charging during normal use,Battery degradation,device_issue_dataset
The microphone on my smartwatch became unresponsive.,the microphone on my smartwatch became unresponsive,Hardware issue,device_issue_dataset
My smartwatch apps keep crashing after rebooting.,my smartwatch apps keep crashing after rebooting,Software issue,device_issue_dataset
The charging port on my smartwatch fails randomly.,the charging port on my smartwatch fails randomly,Hardware issue,device_issue_dataset
My tablet Bluetooth stops working while charging.,my tablet bluetooth stops working while charging,Software issue,device_issue_dataset
My phone apps keep crashing after installing new software.,my phone apps keep crashing after installing new software,Software issue,device_issue_dataset
The trackpad on my tablet disconnects frequently.,the trackpad on my tablet disconnects frequently,Hardware issue,device_issue_dataset
The screen freezes during video playback.,the screen freezes during video playback,Cracked screen,device_issue_dataset
My laptop was exposed to beach sand and several buttons stopped responding.,my laptop was exposed to beach sand and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My phone was crushed inside a bag and charging no longer works.,my phone was crushed inside a bag and charging no longer works,Water/Liquid damage,device_issue_dataset
My smartwatch was exposed to heavy rain and the battery started overheating.,my smartwatch was exposed to heavy rain and the battery started overheating,Water/Liquid damage,device_issue_dataset
The camera on my phone malfunctions during use.,the camera on my phone malfunctions during use,Hardware issue,device_issue_dataset
My smartwatch takes too long to charge during online meetings.,my smartwatch takes too long to charge during online meetings,Battery degradation,device_issue_dataset
My tablet loses battery health rapidly when using GPS.,my tablet loses battery health rapidly when using gps,Battery degradation,device_issue_dataset
My phone operating system fails to boot after rebooting.,my phone operating system fails to boot after rebooting,Software issue,device_issue_dataset
My laptop settings reset automatically when opening settings.,my laptop settings reset automatically when opening settings,Software issue,device_issue_dataset
My smartwatch drops from full charge within hours when using GPS.,my smartwatch drops from full charge within hours when using gps,Battery degradation,device_issue_dataset
The dead pixels appeared during gaming.,the dead pixels appeared during gaming,Cracked screen,device_issue_dataset
The display shows vertical lines during normal use.,the display shows vertical lines during normal use,Cracked screen,device_issue_dataset
My phone loses charge overnight when connected to WiFi.,my phone loses charge overnight when connected to wifi,Battery degradation,device_issue_dataset
The fingerprint sensor on my smartwatch is not detected.,the fingerprint sensor on my smartwatch is not detected,Hardware issue,device_issue_dataset
My phone was exposed to beach sand and the battery started overheating.,my phone was exposed to beach sand and the battery started overheating,Water/Liquid damage,device_issue_dataset
The charging port on my smartwatch malfunctions during use.,the charging port on my smartwatch malfunctions during use,Hardware issue,device_issue_dataset
My tablet operating system fails to boot after updating.,my tablet operating system fails to boot after updating,Software issue,device_issue_dataset
My tablet Bluetooth stops working after installing new software.,my tablet bluetooth stops working after installing new software,Software issue,device_issue_dataset
My phone fell from a table and the touchscreen stopped working.,my phone fell from a table and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My laptop takes too long to charge while charging.,my laptop takes too long to charge while charging,Battery degradation,device_issue_dataset
My smartwatch takes too long to charge while charging.,my smartwatch takes too long to charge while charging,Battery degradation,device_issue_dataset
My tablet powers off suddenly during video calls.,my tablet powers off suddenly during video calls,Battery degradation,device_issue_dataset
The speaker on my phone fails randomly.,the speaker on my phone fails randomly,Hardware issue,device_issue_dataset
My laptop WiFi disconnects frequently while charging.,my laptop wifi disconnects frequently while charging,Software issue,device_issue_dataset
The screen freezes when exposed to sunlight.,the screen freezes when exposed to sunlight,Cracked screen,device_issue_dataset
The screen freezes when exposed to sunlight.,the screen freezes when exposed to sunlight,Cracked screen,device_issue_dataset
My phone Bluetooth stops working after installing new software.,my phone bluetooth stops working after installing new software,Software issue,device_issue_dataset
My laptop had coffee spilled on it and the screen shattered.,my laptop had coffee spilled on it and the screen shattered,Water/Liquid damage,device_issue_dataset
The display shows distorted colors after a drop.,the display shows distorted colors after a drop,Cracked screen,device_issue_dataset
My tablet was left inside a hot car and the battery started overheating.,my tablet was left inside a hot car and the battery started overheating,Water/Liquid damage,device_issue_dataset
My phone was left inside a hot car and the battery started overheating.,my phone was left inside a hot car and the battery started overheating,Water/Liquid damage,device_issue_dataset
My phone was left inside a hot car and random shutdowns started occurring.,my phone was left inside a hot car and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The ghost touches occur when using social media.,the ghost touches occur when using social media,Cracked screen,device_issue_dataset
My smartwatch loses battery health rapidly during video calls.,my smartwatch loses battery health rapidly during video calls,Battery degradation,device_issue_dataset
My laptop settings reset automatically when connected to the internet.,my laptop settings reset automatically when connected to the internet,Software issue,device_issue_dataset
My laptop was hit during a vehicle accident and several buttons stopped responding.,my laptop was hit during a vehicle accident and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My tablet was hit during a vehicle accident and no longer turns on.,my tablet was hit during a vehicle accident and no longer turns on,Water/Liquid damage,device_issue_dataset
The touchscreen is unresponsive during gaming.,the touchscreen is unresponsive during gaming,Cracked screen,device_issue_dataset
My phone apps keep crashing when connected to the internet.,my phone apps keep crashing when connected to the internet,Software issue,device_issue_dataset
My phone had coffee spilled on it and internal components failed.,my phone had coffee spilled on it and internal components failed,Water/Liquid damage,device_issue_dataset
My tablet was hit during a vehicle accident and charging no longer works.,my tablet was hit during a vehicle accident and charging no longer works,Water/Liquid damage,device_issue_dataset
My phone does not hold a charge during standby.,my phone does not hold a charge during standby,Battery degradation,device_issue_dataset
My laptop Bluetooth stops working when connected to the internet.,my laptop bluetooth stops working when connected to the internet,Software issue,device_issue_dataset
My phone device restarts unexpectedly when connected to the internet.,my phone device restarts unexpectedly when connected to the internet,Software issue,device_issue_dataset
My tablet dies unexpectedly while charging.,my tablet dies unexpectedly while charging,Battery degradation,device_issue_dataset
My tablet gets hot while charging when connected to WiFi.,my tablet gets hot while charging when connected to wifi,Battery degradation,device_issue_dataset
My tablet device restarts unexpectedly during file transfers.,my tablet device restarts unexpectedly during file transfers,Software issue,device_issue_dataset
The microphone on my tablet became unresponsive.,the microphone on my tablet became unresponsive,Hardware issue,device_issue_dataset
The touchscreen is unresponsive randomly throughout the day.,the touchscreen is unresponsive randomly throughout the day,Cracked screen,device_issue_dataset
My laptop settings reset automatically while charging.,my laptop settings reset automatically while charging,Software issue,device_issue_dataset
My tablet was left inside a hot car and random shutdowns started occurring.,my tablet was left inside a hot car and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The camera on my tablet disconnects frequently.,the camera on my tablet disconnects frequently,Hardware issue,device_issue_dataset
The screen freezes after an update.,the screen freezes after an update,Cracked screen,device_issue_dataset
The trackpad on my smartwatch produces unusual behavior.,the trackpad on my smartwatch produces unusual behavior,Hardware issue,device_issue_dataset
My smartwatch was dropped down stairs and no longer turns on.,my smartwatch was dropped down stairs and no longer turns on,Water/Liquid damage,device_issue_dataset
The screen freezes after replacing the screen.,the screen freezes after replacing the screen,Cracked screen,device_issue_dataset
My phone settings reset automatically while using multiple apps.,my phone settings reset automatically while using multiple apps,Software issue,device_issue_dataset
The motherboard on my smartwatch is physically damaged.,the motherboard on my smartwatch is physically damaged,Hardware issue,device_issue_dataset
My tablet loses charge overnight during normal use.,my tablet loses charge overnight during normal use,Battery degradation,device_issue_dataset
My smartwatch software update failed after updating.,my smartwatch software update failed after updating,Software issue,device_issue_dataset
My smartwatch WiFi disconnects frequently after rebooting.,my smartwatch wifi disconnects frequently after rebooting,Software issue,device_issue_dataset
My tablet loses charge overnight when using GPS.,my tablet loses charge overnight when using gps,Battery degradation,device_issue_dataset
The screen goes black after a drop.,the screen goes black after a drop,Cracked screen,device_issue_dataset
My smartwatch apps keep crashing after updating.,my smartwatch apps keep crashing after updating,Software issue,device_issue_dataset
The microphone on my tablet is not detected.,the microphone on my tablet is not detected,Hardware issue,device_issue_dataset
The fingerprint sensor on my tablet became unresponsive.,the fingerprint sensor on my tablet became unresponsive,Hardware issue,device_issue_dataset
The screen cracked during video playback.,the screen cracked during video playback,Cracked screen,device_issue_dataset
The display shows vertical lines during video playback.,the display shows vertical lines during video playback,Cracked screen,device_issue_dataset
My laptop was crushed inside a bag and the display became damaged.,my laptop was crushed inside a bag and the display became damaged,Water/Liquid damage,device_issue_dataset
My smartwatch Bluetooth stops working while using multiple apps.,my smartwatch bluetooth stops working while using multiple apps,Software issue,device_issue_dataset
My smartwatch dies unexpectedly during standby.,my smartwatch dies unexpectedly during standby,Battery degradation,device_issue_dataset
The USB port on my laptop shows signs of failure.,the usb port on my laptop shows signs of failure,Hardware issue,device_issue_dataset
My laptop device enters a boot loop while using multiple apps.,my laptop device enters a boot loop while using multiple apps,Software issue,device_issue_dataset
My laptop was exposed to beach sand and random shutdowns started occurring.,my laptop was exposed to beach sand and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
The charging port on my smartwatch produces unusual behavior.,the charging port on my smartwatch produces unusual behavior,Hardware issue,device_issue_dataset
The motherboard on my smartwatch malfunctions during use.,the motherboard on my smartwatch malfunctions during use,Hardware issue,device_issue_dataset
My tablet gets hot while charging during video calls.,my tablet gets hot while charging during video calls,Battery degradation,device_issue_dataset
My laptop WiFi disconnects frequently during normal operation.,my laptop wifi disconnects frequently during normal operation,Software issue,device_issue_dataset
My phone software update failed while using multiple apps.,my phone software update failed while using multiple apps,Software issue,device_issue_dataset
My smartwatch drains quickly after a software update.,my smartwatch drains quickly after a software update,Battery degradation,device_issue_dataset
My laptop apps keep crashing during file transfers.,my laptop apps keep crashing during file transfers,Software issue,device_issue_dataset
My phone was hit during a vehicle accident and the touchscreen stopped working.,my phone was hit during a vehicle accident and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My phone Bluetooth stops working during startup.,my phone bluetooth stops working during startup,Software issue,device_issue_dataset
The touchscreen is unresponsive during gaming.,the touchscreen is unresponsive during gaming,Cracked screen,device_issue_dataset
My laptop takes too long to charge while watching videos.,my laptop takes too long to charge while watching videos,Battery degradation,device_issue_dataset
The display shows vertical lines after replacing the screen.,the display shows vertical lines after replacing the screen,Cracked screen,device_issue_dataset
The fingerprint sensor on my laptop is physically damaged.,the fingerprint sensor on my laptop is physically damaged,Hardware issue,device_issue_dataset
The microphone on my smartwatch is not detected.,the microphone on my smartwatch is not detected,Hardware issue,device_issue_dataset
My laptop system freezes randomly after rebooting.,my laptop system freezes randomly after rebooting,Software issue,device_issue_dataset
The dead pixels appeared when exposed to sunlight.,the dead pixels appeared when exposed to sunlight,Cracked screen,device_issue_dataset
My tablet was left inside a hot car and internal components failed.,my tablet was left inside a hot car and internal components failed,Water/Liquid damage,device_issue_dataset
My smartwatch was crushed inside a bag and the touchscreen stopped working.,my smartwatch was crushed inside a bag and the touchscreen stopped working,Water/Liquid damage,device_issue_dataset
My smartwatch was exposed to beach sand and the screen shattered.,my smartwatch was exposed to beach sand and the screen shattered,Water/Liquid damage,device_issue_dataset
The power button on my tablet stopped working.,the power button on my tablet stopped working,Hardware issue,device_issue_dataset
My tablet gets hot while charging while watching videos.,my tablet gets hot while charging while watching videos,Battery degradation,device_issue_dataset
My tablet screen freezes during file transfers.,my tablet screen freezes during file transfers,Software issue,device_issue_dataset
My tablet fell into water and random shutdowns started occurring.,my tablet fell into water and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
My laptop system freezes randomly when opening settings.,my laptop system freezes randomly when opening settings,Software issue,device_issue_dataset
The keyboard on my smartwatch malfunctions during use.,the keyboard on my smartwatch malfunctions during use,Hardware issue,device_issue_dataset
My tablet screen freezes while charging.,my tablet screen freezes while charging,Software issue,device_issue_dataset
My laptop had coffee spilled on it and the speaker became distorted.,my laptop had coffee spilled on it and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My phone had coffee spilled on it and several buttons stopped responding.,my phone had coffee spilled on it and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My smartwatch does not hold a charge during online meetings.,my smartwatch does not hold a charge during online meetings,Battery degradation,device_issue_dataset
My phone apps keep crashing after updating.,my phone apps keep crashing after updating,Software issue,device_issue_dataset
The motherboard on my laptop malfunctions during use.,the motherboard on my laptop malfunctions during use,Hardware issue,device_issue_dataset
My smartwatch drops from full charge within hours during video calls.,my smartwatch drops from full charge within hours during video calls,Battery degradation,device_issue_dataset
The microphone on my phone disconnects frequently.,the microphone on my phone disconnects frequently,Hardware issue,device_issue_dataset
My smartwatch WiFi disconnects frequently during file transfers.,my smartwatch wifi disconnects frequently during file transfers,Software issue,device_issue_dataset
My phone had coffee spilled on it and the battery started overheating.,my phone had coffee spilled on it and the battery started overheating,Water/Liquid damage,device_issue_dataset
My tablet had coffee spilled on it and the screen shattered.,my tablet had coffee spilled on it and the screen shattered,Water/Liquid damage,device_issue_dataset
My smartwatch software update failed after installing new software.,my smartwatch software update failed after installing new software,Software issue,device_issue_dataset
The microphone on my smartwatch works intermittently.,the microphone on my smartwatch works intermittently,Hardware issue,device_issue_dataset
My phone system freezes randomly while charging.,my phone system freezes randomly while charging,Software issue,device_issue_dataset
My smartwatch was crushed inside a bag and no longer turns on.,my smartwatch was crushed inside a bag and no longer turns on,Water/Liquid damage,device_issue_dataset
The trackpad on my laptop is not detected.,the trackpad on my laptop is not detected,Hardware issue,device_issue_dataset
My phone operating system fails to boot while charging.,my phone operating system fails to boot while charging,Software issue,device_issue_dataset
My tablet fell into water and the battery started overheating.,my tablet fell into water and the battery started overheating,Water/Liquid damage,device_issue_dataset
My tablet drops from full charge within hours after a software update.,my tablet drops from full charge within hours after a software update,Battery degradation,device_issue_dataset
My phone operating system fails to boot after rebooting.,my phone operating system fails to boot after rebooting,Software issue,device_issue_dataset
My tablet drops from full charge within hours while watching videos.,my tablet drops from full charge within hours while watching videos,Battery degradation,device_issue_dataset
The keyboard on my laptop is physically damaged.,the keyboard on my laptop is physically damaged,Hardware issue,device_issue_dataset
My phone screen freezes after rebooting.,my phone screen freezes after rebooting,Software issue,device_issue_dataset
My phone takes too long to charge during standby.,my phone takes too long to charge during standby,Battery degradation,device_issue_dataset
My tablet loses charge overnight while watching videos.,my tablet loses charge overnight while watching videos,Battery degradation,device_issue_dataset
My laptop dies unexpectedly when using GPS.,my laptop dies unexpectedly when using gps,Battery degradation,device_issue_dataset
My phone loses charge overnight while charging.,my phone loses charge overnight while charging,Battery degradation,device_issue_dataset
The dead pixels appeared randomly throughout the day.,the dead pixels appeared randomly throughout the day,Cracked screen,device_issue_dataset
The ghost touches occur during gaming.,the ghost touches occur during gaming,Cracked screen,device_issue_dataset
The microphone on my phone shows signs of failure.,the microphone on my phone shows signs of failure,Hardware issue,device_issue_dataset
My phone was dropped on concrete and the display became damaged.,my phone was dropped on concrete and the display became damaged,Water/Liquid damage,device_issue_dataset
The screen flickers during video playback.,the screen flickers during video playback,Cracked screen,device_issue_dataset
The screen freezes after an update.,the screen freezes after an update,Cracked screen,device_issue_dataset
My smartwatch device restarts unexpectedly when connected to the internet.,my smartwatch device restarts unexpectedly when connected to the internet,Software issue,device_issue_dataset
The charging port on my smartwatch shows signs of failure.,the charging port on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
The touchscreen is unresponsive after an update.,the touchscreen is unresponsive after an update,Cracked screen,device_issue_dataset
The motherboard on my smartwatch fails randomly.,the motherboard on my smartwatch fails randomly,Hardware issue,device_issue_dataset
My tablet was dropped on concrete and the screen shattered.,my tablet was dropped on concrete and the screen shattered,Water/Liquid damage,device_issue_dataset
My phone had coffee spilled on it and the display became damaged.,my phone had coffee spilled on it and the display became damaged,Water/Liquid damage,device_issue_dataset
The touchscreen is unresponsive during normal use.,the touchscreen is unresponsive during normal use,Cracked screen,device_issue_dataset
My phone loses battery health rapidly when connected to WiFi.,my phone loses battery health rapidly when connected to wifi,Battery degradation,device_issue_dataset
The microphone on my phone fails randomly.,the microphone on my phone fails randomly,Hardware issue,device_issue_dataset
My tablet loses battery health rapidly during video calls.,my tablet loses battery health rapidly during video calls,Battery degradation,device_issue_dataset
The USB port on my laptop is not detected.,the usb port on my laptop is not detected,Hardware issue,device_issue_dataset
The screen goes black while charging.,the screen goes black while charging,Cracked screen,device_issue_dataset
My smartwatch had coffee spilled on it and random shutdowns started occurring.,my smartwatch had coffee spilled on it and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
My phone drains quickly while gaming.,my phone drains quickly while gaming,Battery degradation,device_issue_dataset
My smartwatch powers off suddenly during normal use.,my smartwatch powers off suddenly during normal use,Battery degradation,device_issue_dataset
My smartwatch operating system fails to boot after rebooting.,my smartwatch operating system fails to boot after rebooting,Software issue,device_issue_dataset
My laptop discharges while idle during normal use.,my laptop discharges while idle during normal use,Battery degradation,device_issue_dataset
The speaker on my phone malfunctions during use.,the speaker on my phone malfunctions during use,Hardware issue,device_issue_dataset
The power button on my laptop works intermittently.,the power button on my laptop works intermittently,Hardware issue,device_issue_dataset
The USB port on my smartwatch shows signs of failure.,the usb port on my smartwatch shows signs of failure,Hardware issue,device_issue_dataset
My smartwatch Bluetooth stops working after updating.,my smartwatch bluetooth stops working after updating,Software issue,device_issue_dataset
My phone had coffee spilled on it and several buttons stopped responding.,my phone had coffee spilled on it and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
The USB port on my laptop disconnects frequently.,the usb port on my laptop disconnects frequently,Hardware issue,device_issue_dataset
My smartwatch loses charge overnight after a software update.,my smartwatch loses charge overnight after a software update,Battery degradation,device_issue_dataset
The screen flickers after a drop.,the screen flickers after a drop,Cracked screen,device_issue_dataset
The speaker on my smartwatch became unresponsive.,the speaker on my smartwatch became unresponsive,Hardware issue,device_issue_dataset
My laptop drains quickly during video calls.,my laptop drains quickly during video calls,Battery degradation,device_issue_dataset
My phone operating system fails to boot during normal operation.,my phone operating system fails to boot during normal operation,Software issue,device_issue_dataset
My phone software update failed while charging.,my phone software update failed while charging,Software issue,device_issue_dataset
My tablet was left inside a hot car and several buttons stopped responding.,my tablet was left inside a hot car and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My phone drops from full charge within hours during normal use.,my phone drops from full charge within hours during normal use,Battery degradation,device_issue_dataset
The screen flickers when exposed to sunlight.,the screen flickers when exposed to sunlight,Cracked screen,device_issue_dataset
My smartwatch was crushed inside a bag and random shutdowns started occurring.,my smartwatch was crushed inside a bag and random shutdowns started occurring,Water/Liquid damage,device_issue_dataset
My phone loses battery health rapidly while watching videos.,my phone loses battery health rapidly while watching videos,Battery degradation,device_issue_dataset
My phone was exposed to heavy rain and no longer turns on.,my phone was exposed to heavy rain and no longer turns on,Water/Liquid damage,device_issue_dataset
The power button on my laptop disconnects frequently.,the power button on my laptop disconnects frequently,Hardware issue,device_issue_dataset
My phone device enters a boot loop during startup.,my phone device enters a boot loop during startup,Software issue,device_issue_dataset
My tablet loses charge overnight during standby.,my tablet loses charge overnight during standby,Battery degradation,device_issue_dataset
The screen flickers while charging.,the screen flickers while charging,Cracked screen,device_issue_dataset
The fingerprint sensor on my laptop is not detected.,the fingerprint sensor on my laptop is not detected,Hardware issue,device_issue_dataset
The display shows distorted colors during normal use.,the display shows distorted colors during normal use,Cracked screen,device_issue_dataset
My smartwatch powers off suddenly while gaming.,my smartwatch powers off suddenly while gaming,Battery degradation,device_issue_dataset
The screen flickers after a drop.,the screen flickers after a drop,Cracked screen,device_issue_dataset
The camera on my tablet became unresponsive.,the camera on my tablet became unresponsive,Hardware issue,device_issue_dataset
The screen flickers during normal use.,the screen flickers during normal use,Cracked screen,device_issue_dataset
The dead pixels appeared when using social media.,the dead pixels appeared when using social media,Cracked screen,device_issue_dataset
My laptop loses battery health rapidly during video calls.,my laptop loses battery health rapidly during video calls,Battery degradation,device_issue_dataset
My laptop was dropped on concrete and the speaker became distorted.,my laptop was dropped on concrete and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My phone had coffee spilled on it and several buttons stopped responding.,my phone had coffee spilled on it and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My smartwatch dies unexpectedly during standby.,my smartwatch dies unexpectedly during standby,Battery degradation,device_issue_dataset
The dead pixels appeared while charging.,the dead pixels appeared while charging,Cracked screen,device_issue_dataset
My laptop discharges while idle while watching videos.,my laptop discharges while idle while watching videos,Battery degradation,device_issue_dataset
The touchscreen is unresponsive during normal use.,the touchscreen is unresponsive during normal use,Cracked screen,device_issue_dataset
My tablet WiFi disconnects frequently during normal operation.,my tablet wifi disconnects frequently during normal operation,Software issue,device_issue_dataset
My phone Bluetooth stops working while using multiple apps.,my phone bluetooth stops working while using multiple apps,Software issue,device_issue_dataset
My phone software update failed when opening settings.,my phone software update failed when opening settings,Software issue,device_issue_dataset
My smartwatch fell into water and charging no longer works.,my smartwatch fell into water and charging no longer works,Water/Liquid damage,device_issue_dataset
The touchscreen is unresponsive during video playback.,the touchscreen is unresponsive during video playback,Cracked screen,device_issue_dataset
The fingerprint sensor on my laptop disconnects frequently.,the fingerprint sensor on my laptop disconnects frequently,Hardware issue,device_issue_dataset
My tablet dies unexpectedly during online meetings.,my tablet dies unexpectedly during online meetings,Battery degradation,device_issue_dataset
The USB port on my phone malfunctions during use.,the usb port on my phone malfunctions during use,Hardware issue,device_issue_dataset
The power button on my phone shows signs of failure.,the power button on my phone shows signs of failure,Hardware issue,device_issue_dataset
The screen goes black during gaming.,the screen goes black during gaming,Cracked screen,device_issue_dataset
The ghost touches occur during video playback.,the ghost touches occur during video playback,Cracked screen,device_issue_dataset
My smartwatch gets hot while charging while charging.,my smartwatch gets hot while charging while charging,Battery degradation,device_issue_dataset
My tablet had coffee spilled on it and the speaker became distorted.,my tablet had coffee spilled on it and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My smartwatch was crushed inside a bag and the speaker became distorted.,my smartwatch was crushed inside a bag and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My laptop was dropped down stairs and internal components failed.,my laptop was dropped down stairs and internal components failed,Water/Liquid damage,device_issue_dataset
The USB port on my tablet fails randomly.,the usb port on my tablet fails randomly,Hardware issue,device_issue_dataset
My smartwatch does not hold a charge while charging.,my smartwatch does not hold a charge while charging,Battery degradation,device_issue_dataset
My tablet discharges while idle during online meetings.,my tablet discharges while idle during online meetings,Battery degradation,device_issue_dataset
My tablet dies unexpectedly when using GPS.,my tablet dies unexpectedly when using gps,Battery degradation,device_issue_dataset
The screen goes black after replacing the screen.,the screen goes black after replacing the screen,Cracked screen,device_issue_dataset
The microphone on my smartwatch works intermittently.,the microphone on my smartwatch works intermittently,Hardware issue,device_issue_dataset
My smartwatch was left inside a hot car and charging no longer works.,my smartwatch was left inside a hot car and charging no longer works,Water/Liquid damage,device_issue_dataset
My laptop gets hot while charging when using GPS.,my laptop gets hot while charging when using gps,Battery degradation,device_issue_dataset
The trackpad on my tablet shows signs of failure.,the trackpad on my tablet shows signs of failure,Hardware issue,device_issue_dataset
My laptop device restarts unexpectedly while charging.,my laptop device restarts unexpectedly while charging,Software issue,device_issue_dataset
The touchscreen is unresponsive while charging.,the touchscreen is unresponsive while charging,Cracked screen,device_issue_dataset
The screen goes black during video playback.,the screen goes black during video playback,Cracked screen,device_issue_dataset
My laptop had coffee spilled on it and several buttons stopped responding.,my laptop had coffee spilled on it and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My smartwatch was crushed inside a bag and the speaker became distorted.,my smartwatch was crushed inside a bag and the speaker became distorted,Water/Liquid damage,device_issue_dataset
My smartwatch WiFi disconnects frequently after updating.,my smartwatch wifi disconnects frequently after updating,Software issue,device_issue_dataset
My smartwatch had coffee spilled on it and the display became damaged.,my smartwatch had coffee spilled on it and the display became damaged,Water/Liquid damage,device_issue_dataset
My smartwatch Bluetooth stops working during startup.,my smartwatch bluetooth stops working during startup,Software issue,device_issue_dataset
The touchscreen is unresponsive after a drop.,the touchscreen is unresponsive after a drop,Cracked screen,device_issue_dataset
My smartwatch device enters a boot loop when opening settings.,my smartwatch device enters a boot loop when opening settings,Software issue,device_issue_dataset
My smartwatch drains quickly during online meetings.,my smartwatch drains quickly during online meetings,Battery degradation,device_issue_dataset
The fingerprint sensor on my phone is physically damaged.,the fingerprint sensor on my phone is physically damaged,Hardware issue,device_issue_dataset
The brightness changes automatically after replacing the screen.,the brightness changes automatically after replacing the screen,Cracked screen,device_issue_dataset
My laptop discharges while idle when using GPS.,my laptop discharges while idle when using gps,Battery degradation,device_issue_dataset
The fingerprint sensor on my tablet produces unusual behavior.,the fingerprint sensor on my tablet produces unusual behavior,Hardware issue,device_issue_dataset
The camera on my laptop disconnects frequently.,the camera on my laptop disconnects frequently,Hardware issue,device_issue_dataset
The screen flickers after a drop.,the screen flickers after a drop,Cracked screen,device_issue_dataset
The brightness changes automatically when using social media.,the brightness changes automatically when using social media,Cracked screen,device_issue_dataset
The camera on my smartwatch stopped working.,the camera on my smartwatch stopped working,Hardware issue,device_issue_dataset
My smartwatch dies unexpectedly while charging.,my smartwatch dies unexpectedly while charging,Battery degradation,device_issue_dataset
My tablet drops from full charge within hours during video calls.,my tablet drops from full charge within hours during video calls,Battery degradation,device_issue_dataset
The microphone on my smartwatch disconnects frequently.,the microphone on my smartwatch disconnects frequently,Hardware issue,device_issue_dataset
My tablet was exposed to beach sand and several buttons stopped responding.,my tablet was exposed to beach sand and several buttons stopped responding,Water/Liquid damage,device_issue_dataset
My phone was dropped on concrete and the battery started overheating.,my phone was dropped on concrete and the battery started overheating,Water/Liquid damage,device_issue_dataset
The screen cracked after a drop.,the screen cracked after a drop,Cracked screen,device_issue_dataset
The ghost touches occur when exposed to sunlight.,the ghost touches occur when exposed to sunlight,Cracked screen,device_issue_dataset
My laptop dies unexpectedly when using GPS.,my laptop dies unexpectedly when using gps,Battery degradation,device_issue_dataset
The screen goes black after replacing the screen.,the screen goes black after replacing the screen,Cracked screen,device_issue_dataset
The display shows vertical lines while charging.,the display shows vertical lines while charging,Cracked screen,device_issue_dataset
My phone was exposed to heavy rain and no longer turns on.,my phone was exposed to heavy rain and no longer turns on,Water/Liquid damage,device_issue_dataset
My phone gets hot while charging while charging.,my phone gets hot while charging while charging,Battery degradation,device_issue_dataset
My tablet loses battery health rapidly during standby.,my tablet loses battery health rapidly during standby,Battery degradation,device_issue_dataset
My phone was dropped on concrete and the screen shattered.,my phone was dropped on concrete and the screen shattered,Water/Liquid damage,device_issue_dataset
The USB port on my laptop is not detected.,the usb port on my laptop is not detected,Hardware issue,device_issue_dataset
My laptop was crushed inside a bag and internal components failed.,my laptop was crushed inside a bag and internal components failed,Water/Liquid damage,device_issue_dataset
The dead pixels appeared when using social media.,the dead pixels appeared when using social media,Cracked screen,device_issue_dataset
My phone takes too long to charge during normal use.,my phone takes too long to charge during normal use,Battery degradation,device_issue_dataset
My tablet had coffee spilled on it and charging no longer works.,my tablet had coffee spilled on it and charging no longer works,Water/Liquid damage,device_issue_dataset
